model_name,n_seeds,n_censored,frac_censored,spearman,spearman_p,spearman_ci_lo,spearman_ci_hi,kendall,kendall_p,frac_hard,auc_hard,auc_p
llama-3.1-8b-instruct,508,43,0.08464566929133858,0.6081870529049394,1.0381276357553995e-52,0.5500927963874173,0.6593805297712039,0.4877209480101354,6.799356853115235e-44,0.10433070866141732,0.9291727140783745,7.053862169527537e-25
qwen2.5-7b-instruct,508,81,0.1594488188976378,0.6207373748878972,1.925398331201016e-55,0.5573025055569092,0.6770094138742601,0.49612995895703416,1.9552251162378963e-47,0.19881889763779528,0.8592575473763592,2.363572993966963e-29
gemma-2-2b-it,508,32,0.06299212598425197,0.5776244356355865,1.5241344140788586e-46,0.5114116491970212,0.6329527058577598,0.4663487962738623,1.0420865992729203e-38,0.08267716535433071,0.9296443899448191,1.2036892076269572e-20
phi-4-mini-instruct,508,16,0.031496062992125984,0.6258409832961201,1.3735416831254116e-56,0.5613396420543879,0.678468696525378,0.5247514363039728,1.9169639964550708e-46,0.05905511811023622,0.8506276150627615,4.2948488894584986e-11
