model_name,n_splits,heldout_spearman_mean,heldout_auc_mean,heldout_auc_sd,heldout_accuracy_mean
llama-3.1-8b-instruct,200,0.6065407364842247,0.9279668686363867,0.015769984698751467,0.8430708661417324
qwen2.5-7b-instruct,200,0.6209593200585323,0.8601453353329503,0.023354988472548806,0.8034055118110237
gemma-2-2b-it,200,0.5773390994708432,0.9290762259255758,0.015682073034255936,0.8566929133858266
phi-4-mini-instruct,200,0.6243058209844001,0.8510972944824365,0.03844102109362363,0.8124212598425197
