model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,kind,matched_to,energy_target,feasible
llama-3.1-8b-instruct,dev,magnitude,unedited,3,3,6,0.061197916666666664,0.03125,0.10546875,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6580320856945465,-0.0,-0.0,-0.0,,,0.0,0.6317476431528727,none,,,True
llama-3.1-8b-instruct,dev,magnitude,targeted,3,3,6,0.037760416666666664,0.015625,0.078125,-0.0234375,-0.0859375,0.03125,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6732927590851946,-0.015260673390648044,-0.0249172697540557,-0.0048119950227457076,0.004764950665911691,0.003067429859263169,1.0,0.768683671951294,targeted,operating,0.004270072230109828,True
llama-3.1-8b-instruct,dev,magnitude,random_1_matched,3,3,6,0.08203125,0.0625,0.109375,0.020833333333333332,-0.03125,0.0625,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6624756324250284,-0.0044435467304818664,-0.007846109654919622,-0.001039765212684618,0.00026363367673736655,0.00024154003925592698,1.0,0.744936466217041,random,targeted energy,0.004270072230109828,True
llama-3.1-8b-instruct,dev,magnitude,targeted_at_random_1_energy,3,3,6,0.049479166666666664,0.0078125,0.078125,-0.01171875,-0.09765625,0.046875,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.664613470572789,-0.006581384878242363,-0.008569483921732318,-0.004476975848176967,0.0002447892917539042,0.000370554258854219,0.17296697435283484,0.7398470242818197,targeted,random_1 energy at alpha=1,0.0002607146997046886,True
