model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
llama-3.1-8b-instruct,dev,depth,unedited,3,3,6,0.061197916666666664,0.03125,0.10546875,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6580320856945465,-0.0,-0.0,-0.0,,,0.0,0.6179333527882894,,,,,,,,,0,,none
llama-3.1-8b-instruct,dev,depth,full_frozen,3,3,6,0.037760416666666664,0.015625,0.078125,-0.0234375,-0.0859375,0.03125,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6732927590851946,-0.015260673390648044,-0.0249172697540557,-0.0048119950227457076,0.004764950665911691,0.003067429859263169,1.0,3.0170935789744058,1.0,0.0,,1.0,20.0,0.3333333333333333,,1.0,32,1.0,frozen
llama-3.1-8b-instruct,dev,depth,early_frozen,3,3,6,0.045572916666666664,0.0,0.07421875,-0.015625,-0.03125,0.015625,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6598153288850283,-0.0017832431904817776,-0.004860836926709244,0.0003522838125563088,0.0044756948817703075,0.004424424236175084,1.0,1.282336711883545,1.0,0.0,,1.0,9.0,0.6666666666666666,,,11,1.0,frozen
llama-3.1-8b-instruct,dev,depth,middle_frozen,3,3,6,0.053385416666666664,0.03125,0.09765625,-0.0078125,-0.015625,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.670061183201871,-0.012029097507324565,-0.02470570238166482,-0.002702110848347372,0.0027285255992210967,0.005244778122103528,1.0,1.529889980951945,11.0,0.0,,1.0,27.0,0.6666666666666666,,,11,1.0,frozen
llama-3.1-8b-instruct,dev,depth,late_frozen,3,3,6,0.022135416666666668,0.015625,0.03515625,-0.0390625,-0.0703125,-0.015625,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.664831773275884,-0.006799687581337421,-0.02042290359435106,0.0007342673652804832,0.0076128115923724884,0.005346158204534243,1.0,1.3608264128367107,22.0,0.0,,1.0,,1.0,,,10,1.0,frozen
llama-3.1-8b-instruct,dev,depth,full_sequential,3,3,6,0.06640625,0.0,0.18359375,0.005208333333333333,-0.03125,0.078125,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6681398245672286,-0.01010773887268208,-0.019440956128037923,0.005281195529027227,0.0059106398065028555,0.006312242348376983,1.0,2.5908620357513428,1.0,0.0,,1.0,10.0,0.6666666666666666,,1.0,32,1.0,sequential
