layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,2,0.0025784012395888567,0,1,[1656]
1,2,0.0009785210713744164,0,1,[314]
2,2,0.005837803706526756,0,1,[4043]
3,2,0.018021145835518837,1,1,[4055]
4,2,0.016423841938376427,1,1,[4055]
5,2,0.0029627634212374687,0,1,[4091]
6,2,0.0207708440721035,1,1,[4055]
7,2,0.038381434977054596,1,1,[4055]
8,2,0.05134400725364685,1,1,[4055]
9,2,0.04758436977863312,1,1,[4055]
10,2,0.04209349676966667,1,1,[4055]
11,2,0.006913482211530209,0,1,[912]
12,2,0.03757447749376297,1,1,[4055]
13,2,0.02911270596086979,1,1,[4055]
14,2,0.051854755729436874,1,1,[4055]
15,2,0.08274850249290466,1,1,[4055]
16,2,0.09039364010095596,1,1,[4055]
17,2,0.03306300938129425,1,1,[4055]
18,2,0.03688608482480049,1,1,[4055]
19,2,0.03848675638437271,1,1,[2352]
20,2,0.04964035004377365,1,1,[2352]
21,2,0.03539356216788292,1,1,[2352]
22,2,0.024755926802754402,1,1,[2352]
23,2,0.03149630129337311,1,1,[2352]
24,2,0.05458209663629532,1,1,[2352]
25,2,0.020061444491147995,1,1,[2352]
26,2,0.03735148906707764,1,1,[2352]
27,2,0.012604781426489353,1,1,[2352]
28,2,0.007656134199351072,1,1,[2352]
29,2,0.054844681173563004,1,1,[2352]
30,2,0.05960795283317566,1,1,[2352]
31,2,0.010310020297765732,0,1,[1344]
