model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,restore_mode,n_coords,removed_energy_A_mean,restored_energy_A_mean
llama-3.1-8b-instruct,dev,massive,unedited,3,3,6,0.061197916666666664,0.03125,0.10546875,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6580320856945465,-0.0,-0.0,-0.0,,,0.0,0.6562863190968832,none,0,,
llama-3.1-8b-instruct,dev,massive,erased,3,3,6,0.037760416666666664,0.015625,0.078125,-0.0234375,-0.0859375,0.03125,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6732927590851946,-0.015260673390648044,-0.0249172697540557,-0.0048119950227457076,0.004764950665911691,0.003067429859263169,1.0,0.7509196599324545,none,0,,
llama-3.1-8b-instruct,dev,massive,restore_massive,3,3,6,0.033854166666666664,0.0,0.0859375,-0.02734375,-0.046875,-0.015625,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.667056124026185,-0.009024038331638428,-0.015821806666889093,-0.005568104516102734,0.004945381444133346,0.003104417202502107,1.0,0.9072463512420654,massive,2,0.005059705052376571,0.00011487130695929577
llama-3.1-8b-instruct,dev,massive,erase_massive_only,3,3,6,0.05078125,0.015625,0.08984375,-0.010416666666666666,-0.015625,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6605539475999419,-0.002521861905395384,-0.006056738640439596,0.0009089467918372285,0.0008669598261526983,0.0009884977249325964,1.0,0.9301091829935709,complement,2,0.022270565085952227,0.021394489340524916
llama-3.1-8b-instruct,dev,massive,restore_all,3,3,6,0.053385416666666664,0.046875,0.0625,-0.0078125,-0.0546875,0.015625,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.662607755405491,-0.004575669710944456,-0.008571838461859604,-0.0015490470812413726,1.0892467304452507e-06,1.3254423601056595e-06,1.0,0.9192407925923666,all,4096,0.028810842901693685,0.028810842901693685
llama-3.1-8b-instruct,dev,massive,restore_random_1,3,3,6,0.06380208333333333,0.05078125,0.078125,0.0026041666666666665,-0.0546875,0.046875,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.668076146084157,-0.01004406038961049,-0.016242015153058953,-0.001993775828551869,0.004796067642775375,0.0030672088319574306,1.0,0.9170883496602377,random,2,0.004797808816081933,2.4544763253057153e-06
llama-3.1-8b-instruct,dev,massive,restore_equal_energy_1,3,3,6,0.07552083333333333,0.0,0.1640625,0.014322916666666666,-0.046875,0.05859375,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6783355592253443,-0.020303473530797644,-0.03650797307930975,-0.004965751373011695,0.004936678584180162,0.003161845840040339,1.0,0.9796903133392334,equal_energy,2,0.004847656090792886,0.00011093347033247477
