layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,2,0.02233429253101349,0,1,[458]
1,2,0.0012276575434952974,0,1,[2604]
2,2,0.002460853662341833,0,1,[1208]
3,2,0.0009617077303119004,0,1,[1562]
4,2,0.0004640773986466229,0,1,[2659]
5,2,0.00039381167152896523,0,1,[1208]
6,2,4.922968219034374e-05,0,1,[1208]
7,2,0.00798964872956276,0,1,[1208]
8,2,0.009784113615751266,0,1,[1208]
9,2,0.0018906870391219854,0,1,[1208]
10,2,0.0029708619695156813,0,1,[888]
11,2,0.003945076838135719,0,1,[888]
12,2,0.00385818793438375,0,1,[888]
13,2,0.01712985895574093,0,1,[32]
14,2,0.017395632341504097,0,1,[32]
15,2,0.021689852699637413,0,1,[2604]
16,2,0.02105964720249176,0,1,[2604]
17,2,0.025544404983520508,0,1,[2604]
18,2,0.009055769070982933,0,1,[2570]
19,2,0.01128164678812027,0,1,[2570]
20,2,0.009852513670921326,0,1,[2570]
21,2,0.004861168563365936,0,1,[2570]
22,2,0.010955728590488434,0,1,[2570]
23,2,0.008953075855970383,0,1,[2570]
24,2,0.008564522489905357,0,1,[2570]
25,2,0.007081530522555113,0,1,[2570]
26,2,0.25312820076942444,1,1,[2570]
27,2,0.2215215563774109,0,1,[1182]
