model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,kind,matched_to,energy_target,feasible
qwen2.5-7b-instruct,dev,magnitude,unedited,3,3,6,1.44384765625,0.125,3.75341796875,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.292872759507971,-0.0,-0.0,-0.0,,,0.0,0.4795381228129069,none,,,True
qwen2.5-7b-instruct,dev,magnitude,targeted,3,3,6,1.3917643229166667,0.03125,3.76904296875,-0.052083333333333336,-0.09375,0.015625,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.28383934217355444,0.009033417334416571,-0.01718672701510801,0.04334077030528233,0.020122672866965053,0.00830650450969394,1.0,0.575698455174764,targeted,operating,0.019685059182246323,True
qwen2.5-7b-instruct,dev,magnitude,random_1_matched,3,3,6,1.3680013020833333,0.03125,3.85400390625,-0.07584635416666667,-0.234375,0.1005859375,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.2843102537236769,0.00856250578429408,0.0017137160124402855,0.022100064122603267,0.00048678805671526393,0.0003157923935982046,1.0,0.5629032452901205,random,targeted energy,0.019685059182246323,True
qwen2.5-7b-instruct,dev,magnitude,targeted_at_random_1_energy,3,3,6,1.3404947916666667,0.0625,3.865234375,-0.10335286458333333,-0.359375,0.11181640625,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.2888124938083167,0.004060265699654323,-0.002265595244026107,0.009413207887851785,0.0008112106902318953,0.0003899031918088388,0.11003992353903627,0.5620517730712891,targeted,random_1 energy at alpha=1,0.0004864533568801876,True
qwen2.5-7b-instruct,test,magnitude,unedited,2,2,4,0.6787109375,0.25,1.107421875,0.0,0.0,0.0,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.5352770242330827,-0.0,-0.0,-0.0,,,0.0,0.7794291973114014,none,,,True
qwen2.5-7b-instruct,test,magnitude,targeted,2,2,4,0.654296875,0.21875,1.08984375,-0.0244140625,-0.03125,-0.017578125,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.5039575015318354,0.031319522701247264,0.02263813379540592,0.04000091160708861,0.010086505775039206,0.008128134792583525,1.0,0.653709888458252,targeted,operating,0.019685059182246323,True
qwen2.5-7b-instruct,test,magnitude,random_1_matched,2,2,4,0.623046875,0.1875,1.05859375,-0.0556640625,-0.0625,-0.048828125,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.525563854531633,0.009713169701449562,0.0006700150057573438,0.018756324397141783,0.0004227885846639939,0.0003264507583752311,1.0,0.6256113052368164,random,targeted energy,0.019685059182246323,True
qwen2.5-7b-instruct,test,magnitude,targeted_at_random_1_energy,2,2,4,0.6640625,0.15625,1.171875,-0.0146484375,-0.09375,0.064453125,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.528512834429308,0.006764189803774672,5.116897459181424e-05,0.01347721063295753,0.0005341180454304835,0.00042415103160099444,0.11003992353903627,0.6086260080337524,targeted,random_1 energy at alpha=1,0.0004864533568801876,True
