layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,5,0.004168268293142319,0,1,[1807]
1,5,0.005729538854211569,0,1,[1807]
2,5,0.01694166101515293,0,1,[1807]
3,5,0.009143243543803692,0,1,[1807]
4,5,0.17957398295402527,1,1,[535]
5,5,0.14607372879981995,1,1,[535]
6,5,0.2523096203804016,1,1,[334]
7,5,0.22830337285995483,1,1,[334]
8,5,0.3664347529411316,1,1,[334]
9,5,0.31869736313819885,1,1,[334]
10,5,0.3760077953338623,1,1,[334]
11,5,0.46201032400131226,1,1,[334]
12,5,0.3487827181816101,1,1,[334]
13,5,0.3154371380805969,1,1,[334]
14,5,0.3890913128852844,1,1,[334]
15,5,0.47636333107948303,1,1,[334]
16,5,0.3818312883377075,1,1,[334]
17,5,0.41782277822494507,1,1,[334]
18,5,0.3699207901954651,1,1,[334]
19,5,0.40325379371643066,1,1,[334]
20,5,0.33776459097862244,1,1,[334]
21,5,0.4927380383014679,1,1,[334]
22,5,0.36632731556892395,1,1,[334]
23,5,0.3692568838596344,1,1,[334]
24,5,0.14496628940105438,1,1,[334]
25,5,0.38694289326667786,0,1,[976]
