model_name,target,kind,n_population_dev,n_population_test,caveat,n,prevalence,auroc,avg_precision,brier,brier_constant,brier_skill,cal_slope,cal_intercept,cal_in_large,ece,predictor,features,phase,n_folds,n_seeds,fold_stat_mean,fold_stat_sd,fold_stat,n_train,train_prevalence,auroc_lo,auroc_hi,target_mean,spearman,pearson,r2,rmse,mae,spearman_lo,spearman_hi,note
llama-3.1-8b-instruct,new_error,binary,143,264,,143.0,0.03496503496503497,0.5,0.03496503496503497,0.03456095798313645,0.03374248150853987,-0.024256558439231357,,,-7.307718978199346e-05,7.307718978199346e-05,1_base_rate,constant (AUROC 0.5 by definition),dev_cv,5.0,67.0,0.5,0.0,auroc,,,,,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,143.0,0.03496503496503497,0.45362318840579713,0.0409981998907583,0.035402097427527965,0.03374248150853987,-0.049184761902234975,-0.1517734861691835,-3.916460641790603,-0.00021691749215201062,0.017721548521117195,2_baseline,margin_pre+entropy_pre+n_tokens+benchmark,dev_cv,5.0,67.0,0.5690204856871524,0.3060267601086426,auroc,,,,,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,143.0,0.03496503496503497,0.5181159420289855,0.041210319548212845,0.03468496363436529,0.03374248150853987,-0.02793161865071747,-0.7709207573579209,-6.020222498675437,0.0010391288164011483,0.0010391288164011483,3_audit_only,audit_pre,dev_cv,5.0,67.0,0.4365079365079365,0.24013675032392492,auroc,,,,,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,143.0,0.03496503496503497,0.4246376811594203,0.040988166934749805,0.03575974846107537,0.03374248150853987,-0.059784190798917836,-0.23269192641242262,-4.245416464006365,0.001304439549614067,0.024413252582862276,4_baseline_plus_audit,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre,dev_cv,5.0,67.0,0.5619997286663954,0.26861175505091606,auroc,,,,,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,143.0,0.03496503496503497,0.45072463768115945,0.039142970869610966,0.03566912818760802,0.03374248150853987,-0.05709854737804454,-0.17862100876310563,-4.028420801146282,7.74056811978438e-05,0.020868259920150255,2b_baseline_plus_energy,margin_pre+entropy_pre+n_tokens+benchmark+planned_energy,dev_cv,5.0,67.0,0.5903880070546738,0.30983706644315495,auroc,,,,,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,143.0,0.03496503496503497,0.41304347826086957,0.03849722006164837,0.036061275931662806,0.03374248150853987,-0.06872032878008927,-0.25864344563288166,-4.355164643234821,0.0015903042555637167,0.026234405143366193,4b_baseline_audit_energy,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre+planned_energy,dev_cv,5.0,67.0,0.5739044905711572,0.2566271552882866,auroc,,,,,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,264.0,0.041666666666666664,0.5,0.041666666666666664,0.03997546742301987,0.03997546742301987,0.0,,,-0.006701631701631704,0.006701631701631704,1_base_rate,constant (AUROC 0.5 by definition),test,,116.0,0.5,0.0,,143.0,0.03496503496503497,,,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,264.0,0.041666666666666664,0.6539705353934603,0.08980403500886179,0.040087982060890204,0.03997546742301987,-0.0028145921767395166,0.43619109871638145,-1.5465469079602725,-0.0077760008620490345,0.011252393798271653,2_baseline,margin_pre+entropy_pre+n_tokens+benchmark,test,,116.0,,,,143.0,0.03496503496503497,0.47312138948008514,0.8151688450651514,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,264.0,0.041666666666666664,0.5061085159899389,0.06181691991763806,0.04007140811791895,0.03997546742301987,-0.00239998932054597,-0.5519354140225435,-4.991539321246981,-0.007099399381582418,0.007099399381582418,3_audit_only,audit_pre,test,,116.0,,,,143.0,0.03496503496503497,0.3344568168953521,0.6835205550716221,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,264.0,0.041666666666666664,0.6554078332734459,0.09342536933555574,0.040440019591320646,0.03997546742301987,-0.01162093149242982,0.4116815954298464,-1.6104848220666665,-0.008463444298713145,0.011067234428706241,4_baseline_plus_audit,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre,test,,116.0,,,,143.0,0.03496503496503497,0.4984722454983893,0.7982723583278825,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,264.0,0.041666666666666664,0.6270212001437298,0.09639056994944183,0.04021465069169968,0.03997546742301987,-0.005983251331342254,0.37835282419137334,-1.7437670809114822,-0.007896404987504484,0.010886187672082374,2b_baseline_plus_energy,margin_pre+entropy_pre+n_tokens+benchmark+planned_energy,test,,116.0,,,,143.0,0.03496503496503497,0.44577390333438716,0.7994532377344877,,,,,,,,,
llama-3.1-8b-instruct,new_error,binary,143,264,,264.0,0.041666666666666664,0.6424721523535752,0.08553460531347921,0.04050779142548919,0.03997546742301987,-0.01331626712043854,0.38243692168027393,-1.7107812230690063,-0.00859504643048651,0.011251441149928805,4b_baseline_audit_energy,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre+planned_energy,test,,116.0,,,,143.0,0.03496503496503497,0.48702161228864016,0.7878542337332941,,,,,,,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,245.0,,,,,,,,,,,1_base_rate,constant (AUROC 0.5 by definition),dev_cv,5.0,98.0,,,spearman,,,,,-0.09787626122448982,,,-0.005041147024981596,0.1917133868720404,0.140117926473086,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,245.0,,,,,,,,,,,2_baseline,margin_pre+entropy_pre+n_tokens+benchmark,dev_cv,5.0,98.0,0.48039002835176625,0.09975543897287849,spearman,,,,,-0.09787626122448982,0.4520803923328629,0.5005745866053776,0.24792193876568358,0.1658410269846863,0.11058447106560897,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,245.0,,,,,,,,,,,3_audit_only,audit_pre,dev_cv,5.0,98.0,0.11930329546387038,0.1224140195174724,spearman,,,,,-0.09787626122448982,0.10507533646910307,0.05030187813991426,-0.0035455097360899135,0.1915706860258517,0.13941682262714825,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,245.0,,,,,,,,,,,4_baseline_plus_audit,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre,dev_cv,5.0,98.0,0.47849541518735156,0.09669601316960862,spearman,,,,,-0.09787626122448982,0.44972623195619715,0.49927077489352933,0.24664005824288393,0.16598230079906892,0.11090436834800577,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,245.0,,,,,,,,,,,2b_baseline_plus_energy,margin_pre+entropy_pre+n_tokens+benchmark+planned_energy,dev_cv,5.0,98.0,0.5171527930321064,0.08702129947831959,spearman,,,,,-0.09787626122448982,0.5140131702421074,0.521586414221648,0.2694740117297859,0.16344752688037367,0.11014464707057287,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,245.0,,,,,,,,,,,4b_baseline_audit_energy,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre+planned_energy,dev_cv,5.0,98.0,0.5169872800183903,0.08764774080221756,spearman,,,,,-0.09787626122448982,0.5121771699483473,0.5210568888655206,0.2689084635253417,0.1635107823793399,0.11020400859056906,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,411.0,,,,,,,,,,,1_base_rate,constant (AUROC 0.5 by definition),test,,159.0,,,,245.0,-0.09787626122448982,,,-0.0696510900243309,,,-0.027097768725357074,0.17377036437831642,0.1293510906797756,,,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,411.0,,,,,,,,,,,2_baseline,margin_pre+entropy_pre+n_tokens+benchmark,test,,159.0,,,,245.0,-0.09787626122448982,,,-0.0696510900243309,0.4959128927268296,0.6323852470480904,0.37651738774912524,0.13538856716750203,0.08657008982621538,0.4038314429066468,0.5838251680612823,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,411.0,,,,,,,,,,,3_audit_only,audit_pre,test,,159.0,,,,245.0,-0.09787626122448982,,,-0.0696510900243309,0.09704598617547115,0.09179406410440494,-0.017481226316762077,0.17295496002487032,0.126265718837514,-0.009449801025603643,0.20520915766127945,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,411.0,,,,,,,,,,,4_baseline_plus_audit,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre,test,,159.0,,,,245.0,-0.09787626122448982,,,-0.0696510900243309,0.4935691062672089,0.6317172448956806,0.37624796572302033,0.1354178163571335,0.08651674573184721,0.40299210451681244,0.5818376203115425,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,411.0,,,,,,,,,,,2b_baseline_plus_energy,margin_pre+entropy_pre+n_tokens+benchmark+planned_energy,test,,159.0,,,,245.0,-0.09787626122448982,,,-0.0696510900243309,0.4817554545753097,0.6272735134013715,0.36769331197786426,0.13634327028562657,0.09055702453045035,0.38875060128703076,0.5702636894532704,
llama-3.1-8b-instruct,prob_loss,continuous,245,411,,411.0,,,,,,,,,,,4b_baseline_audit_energy,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre+planned_energy,test,,159.0,,,,245.0,-0.09787626122448982,,,-0.0696510900243309,0.48157621367865583,0.6270174397083115,0.36762954990449537,0.1363501445687982,0.09050451665501247,0.3880544973864795,0.5702046963154083,
llama-3.1-8b-instruct,audit_cross,binary,4,10,predictor 3 is the score whose TAU crossing defines the target; partly mechanical,,,,,,,,,,,,n/a,,n/a,,,,,,,,,,,,,,,,,,degenerate: fewer than 10 rows or a single class in dev or test
qwen2.5-7b-instruct,new_error,binary,151,276,,151.0,0.059602649006622516,0.5,0.059602649006622516,0.05640789704278292,0.05605017337434629,-0.0063822044946673095,,,5.838031124004439e-05,5.838031124004439e-05,1_base_rate,constant (AUROC 0.5 by definition),dev_cv,5.0,67.0,0.5,0.0,auroc,,,,,,,,,,,,,
qwen2.5-7b-instruct,new_error,binary,151,276,,151.0,0.059602649006622516,0.7222222222222222,0.12472436740359207,0.06501215985328554,0.05605017337434629,-0.15989221690866473,0.42521022263217695,-1.4179297055368665,0.008544473910867934,0.05885310035789233,2_baseline,margin_pre+entropy_pre+n_tokens+benchmark,dev_cv,5.0,67.0,0.8032250805814025,0.1490941029883239,auroc,,,,,,,,,,,,,
qwen2.5-7b-instruct,new_error,binary,151,276,,151.0,0.059602649006622516,0.6467136150234741,0.12684558896490244,0.0565343543604735,0.05605017337434629,-0.008638349481873586,0.06937490796271942,-2.5639794236374445,-0.00035972625705575634,0.014101083619659342,3_audit_only,audit_pre,dev_cv,5.0,67.0,0.6570534573982849,0.25745802412855207,auroc,,,,,,,,,,,,,
qwen2.5-7b-instruct,new_error,binary,151,276,,151.0,0.059602649006622516,0.7128325508607198,0.11217771699488817,0.06675579936056414,0.05605017337434629,-0.19100076488109008,0.4035568112093495,-1.4759535892892623,0.00930455339055318,0.05988003274275502,4_baseline_plus_audit,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre,dev_cv,5.0,67.0,0.7629951955239311,0.12122800850832123,auroc,,,,,,,,,,,,,
qwen2.5-7b-instruct,new_error,binary,151,276,,151.0,0.059602649006622516,0.7699530516431925,0.14454915906983576,0.068965265093837,0.05605017337434629,-0.23042019215950993,0.4121674590836497,-1.4551603341273085,0.012376799896256369,0.054408298847113866,2b_baseline_plus_energy,margin_pre+entropy_pre+n_tokens+benchmark+planned_energy,dev_cv,5.0,67.0,0.8155865717934685,0.08128937602922405,auroc,,,,,,,,,,,,,
qwen2.5-7b-instruct,new_error,binary,151,276,,151.0,0.059602649006622516,0.7644757433489828,0.14094744955272237,0.07226098520985977,0.05605017337434629,-0.2892196555262223,0.37640451234600236,-1.5583536594970993,0.01574159152083543,0.053812387473346476,4b_baseline_audit_energy,margin_pre+entropy_pre+n_tokens+benchmark+audit_pre+planned_energy,dev_cv,5.0,67.0,0.7926576658760567,0.09000972780462607,auroc,,,,,,,,,,,,,
qwen2.5-7b-instruct,new_error,binary,151,276,,276.0,0.050724637681159424,0.5,0.050724637681159424,0.048230467898369565,0.048230467898369565,0.0,,,0.008878011325463071,0.008878011325463071,1_base_rate,constant (AUROC 0.5 by definition),test,,121.0,0.5,0.0,,151.0,0.059602649006622516,,,,,,,,,,,
