layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
0,1923,1,3.430788056344698,23.90425491850576,0.05170376311475723,45.5014962083252,False,False,True,3583,0.5,50.0
0,2570,2,3.2587136290358942,22.7053143521427,0.09196198569905026,104.59519675116267,False,True,True,3583,0.5,50.0
0,458,3,3.1177256028476736,21.72297045240004,0.1139011118269108,113.7183583309154,False,True,True,3583,0.5,50.0
0,1427,4,2.5505610795454547,17.771212103271964,0.044949600441576254,38.144722416537725,False,False,True,3583,0.5,50.0
0,1692,5,2.001653117390422,13.946657616472416,0.053934490676007925,29.8026907214476,False,False,True,3583,0.5,50.0
1,2570,1,5.9194317124932345,32.619464902787094,0.11356911129532873,263.85315850171816,False,True,True,3582,0.5,50.0
1,458,2,5.6818270667049955,31.310126983123155,0.1256097554733085,268.2443969443456,False,True,True,3582,0.5,50.0
1,1923,3,4.708410035060426,25.946040658334507,0.04647112454890939,54.73334307876899,False,False,True,3582,0.5,50.0
1,1427,4,3.3328211100965013,18.365756462501803,0.0685816263706208,40.283155007514964,False,False,True,3582,0.5,50.0
1,1692,5,2.8168764514565297,15.522605379473534,0.07196904726247441,34.490594885401954,False,False,True,3582,0.5,50.0
2,2570,1,6.993633559365984,30.241517650040862,0.11914152880489971,178.27657958942606,False,True,True,3581,0.5,50.0
2,458,2,6.503048481466449,28.12015438926824,0.13570013035629147,186.3370646743266,False,True,True,3581,0.5,50.0
2,1923,3,4.888944868607955,21.140528922348572,0.06146934503561462,28.703231988205083,False,False,True,3581,0.5,50.0
2,1427,4,3.7464359203079907,16.200149328243093,0.10449504428433724,32.01221989292431,False,False,True,3581,0.5,50.0
2,20,5,3.057940964471726,13.222994151017296,0.11071696188691213,17.614153073206765,False,False,True,3581,0.5,50.0
3,20,1,8.069878627232141,11.382544134508096,0.3979082170462867,40.066946388730294,False,False,True,961,0.5,50.0
3,689,2,4.765542817879549,6.721786529273614,0.439220896477368,24.145955150436144,False,False,True,961,0.5,50.0
3,1699,3,4.168876920537688,5.880190735362767,0.4575981533518198,25.649016615623935,False,False,True,961,0.5,50.0
3,3070,4,4.02675331809304,5.679725740521036,0.4979168153521701,19.967356121116417,False,False,True,961,0.5,50.0
3,2167,5,3.555277823576163,5.014710704660694,0.4748981886364446,16.350752214410893,False,False,True,961,0.5,50.0
4,20,1,6.162096924885011,9.187584682089751,0.3177306726420407,32.433549889563466,False,False,True,1457,0.5,50.0
4,689,2,5.736422914227022,8.55291176675614,0.4386173168973737,29.740460989094032,False,False,True,1457,0.5,50.0
4,1461,3,5.304116850353425,7.908350569677323,0.3911023131889951,29.57738467159156,False,False,True,1457,0.5,50.0
4,1699,4,4.489296420979465,6.693466774951928,0.44286940883187154,28.058445257139947,False,False,True,1457,0.5,50.0
4,2030,5,4.274846069203825,6.37372484439484,0.4021154045381131,22.304180910981223,False,False,True,1457,0.5,50.0
5,689,1,5.938080823053358,8.682129469087966,0.41375978058566437,28.214160785480676,False,False,True,1648,0.5,50.0
5,20,2,5.7881021536514705,8.462844103302196,0.24516409476615808,28.844695876718944,False,False,True,1648,0.5,50.0
5,1461,3,5.704627555197623,8.340795028398603,0.39248204111411494,30.631211968560716,False,False,True,1648,0.5,50.0
5,2030,4,4.75666957178157,6.954775843324307,0.3859521051701921,23.270400142583494,False,False,True,1648,0.5,50.0
5,1699,5,4.7302066026828,6.916084062141399,0.4467763663863832,28.949785058591992,False,False,True,1648,0.5,50.0
6,1461,1,6.566803396866263,9.142453039352322,0.3799369422698007,37.11143749888002,False,False,True,2017,0.5,50.0
6,689,2,6.140431757895288,8.548848746514192,0.3915063966271115,26.70022179725987,False,False,True,2017,0.5,50.0
6,2178,3,5.865271801088451,8.165764796625087,0.49914421927679364,27.492048482464575,False,False,True,2017,0.5,50.0
6,2604,4,5.711932355872482,7.952282133563127,0.32316912904163125,31.32066102631152,False,False,True,2017,0.5,50.0
6,1009,5,5.20298222837682,7.2437101909004395,0.4759177428221251,27.21795462989372,False,False,True,2017,0.5,50.0
7,1461,1,7.111098843308928,8.958691821787129,0.36616100243198313,35.98355764672902,False,False,True,2554,0.5,50.0
7,2604,2,6.933043939939997,8.734375011996015,0.3323191285188959,33.676515548153176,False,False,True,2554,0.5,50.0
7,689,3,6.368479128090334,8.02312598083603,0.3734991913198805,24.700310796015085,False,False,True,2554,0.5,50.0
7,2178,4,6.106691697245895,7.69332140809275,0.4857743408889545,25.39714774387844,False,False,True,2554,0.5,50.0
7,3288,5,5.471599424948424,6.893220597897278,0.46706763736438195,16.215238299503845,False,False,True,2554,0.5,50.0
8,2604,1,7.788434814629272,9.033542039491945,0.3330144493778029,33.78110212927634,False,False,True,2866,0.5,50.0
8,1461,2,7.5213787885833785,8.723792790046623,0.36019998807340736,35.2381840022344,False,False,True,2866,0.5,50.0
8,689,3,6.4438329058670565,7.473983776724003,0.3604211010838944,23.052340079634927,False,False,True,2866,0.5,50.0
8,2178,4,6.158962138122293,7.143571811098896,0.47256253106384133,22.96172553529674,False,False,True,2866,0.5,50.0
8,1929,5,6.108185265391076,7.084677434325042,0.38306280610359367,17.04459579001309,False,False,True,2866,0.5,50.0
