model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,kind,matched_to,energy_target,feasible
gemma-2-2b-it,dev,magnitude,unedited,60,60,116,0.6817138671875,0.5207668050130209,0.8742106119791664,0.0,0.0,0.0,0.4482758620689655,0.3332627118644067,0.5690576186265837,-0.0,-0.0,-0.0,116,0.4429590205324359,-0.0,-0.0,-0.0,,,0.0,0.1766754587491353,none,,,True
gemma-2-2b-it,dev,magnitude,targeted,60,60,116,0.49404296875,0.3717431640625,0.6374959309895831,-0.1876708984375,-0.3073244222005208,-0.0761098225911458,0.5948275862068966,0.4871794871794871,0.7094017094017094,-0.146551724137931,-0.2327586206896551,-0.0689507810197465,116,0.5652887295684055,-0.1223297090359694,-0.1833231113169123,-0.0677347647555934,0.0143977644157209,0.0153714921089938,1.0,0.2385928988456726,targeted,operating,0.0161161978070049,True
gemma-2-2b-it,dev,magnitude,random_1_matched,60,60,116,0.687353515625,0.5131632486979166,0.8800036621093745,0.0056396484375,-0.0430096435546875,0.0534163411458332,0.4396551724137931,0.3220338983050847,0.5641304347826085,0.0086206896551724,-0.0,0.0260869565217391,116,0.4435129416447662,-0.0005539211123301,-0.0053889116081663,0.0043696101501458,0.0004742866878773,0.0005091850355642,1.0,0.238491932551066,random,targeted energy,0.0161161978070049,True
gemma-2-2b-it,dev,magnitude,targeted_at_random_1_energy,60,60,116,0.7086018880208333,0.5529266357421876,0.8949755859374998,0.0268880208333333,-0.0504429117838541,0.1016532389322916,0.396551724137931,0.2844827586206896,0.5213768115942029,0.0517241379310344,0.0087719298245614,0.1025641025641025,116,0.4214794135322846,0.0214796070001513,0.002289801606772,0.0417569243992672,0.0006916867099847,0.0010871773408963,0.1159539009080868,0.2375830014546712,targeted,random_1 energy at alpha=1,0.0004422188354623,True
gemma-2-2b-it,dev,magnitude,random_2_matched,60,60,116,0.65938720703125,0.4975309244791667,0.8477344767252603,-0.02232666015625,-0.0659560139973958,0.0205213419596353,0.4482758620689655,0.330363568215892,0.5739130434782609,-0.0,-0.0258620689655172,0.0254237288135593,116,0.4423653321447131,0.0005936883877227,-0.004821663265727,0.005494413412377,0.0004926659209597,0.0005045064085108,1.0,0.238610823949178,random,targeted energy,0.0161161978070049,True
gemma-2-2b-it,dev,magnitude,targeted_at_random_2_energy,60,60,116,0.66175537109375,0.5025749715169271,0.844083557128906,-0.01995849609375,-0.0984456380208333,0.0553033447265624,0.396551724137931,0.2844827586206896,0.5213768115942029,0.0517241379310344,0.0087719298245614,0.1025641025641025,116,0.4208207317506068,0.022138288781829,0.0011224413430981,0.04380606643328,0.0007410439877379,0.0011770135308004,0.1230594896681734,0.2376600265502929,targeted,random_2 energy at alpha=1,0.0004980772764972,True
gemma-2-2b-it,dev,magnitude,random_3_matched,60,60,116,0.6474461873372396,0.490619748433431,0.8401720555623372,-0.0342676798502604,-0.0752394612630208,0.009088274637858,0.4568965517241379,0.3389830508474576,0.5790035987404406,-0.0086206896551724,-0.0260869565217391,-0.0,116,0.4512115131670042,-0.0082524926345682,-0.0188196007114709,-0.0006994391327513,0.0003122832103216,0.0003751892985675,1.0,0.2386554876963297,random,targeted energy,0.0161161978070049,True
gemma-2-2b-it,dev,magnitude,targeted_at_random_3_energy,60,60,116,0.707891845703125,0.5342268880208333,0.9122432454427084,0.026177978515625,-0.0557771809895833,0.1174236551920572,0.3879310344827586,0.2758620689655172,0.5128260869565217,0.0603448275862069,0.0172413793103448,0.1111111111111111,116,0.4206408058030402,0.0223182147293956,0.0031645599341127,0.0417098322833767,0.0005656797797608,0.0008589697806951,0.0978647370747784,0.2376872142155965,targeted,random_3 energy at alpha=1,0.0003150061091547,True
gemma-2-2b-it,dev,magnitude,neutral_matched,60,60,116,0.6834147135416667,0.5210626220703125,0.8790323893229166,0.0017008463541666,-0.0591770426432291,0.0583382161458333,0.4137931034482758,0.2991452991452991,0.5391304347826087,0.0344827586206896,-0.017094017094017,0.0869565217391304,116,0.4307987321156476,0.0121602884167883,-0.0071517714898961,0.0319305549049737,0.0086832028403742,0.0052455344115039,1.0,0.2376860777537028,neutral,targeted energy,0.0161161978070049,True
gemma-2-2b-it,dev,magnitude,targeted_at_neutral_energy,60,60,116,0.539306640625,0.4112109375,0.6924348958333332,-0.1424072265625,-0.2612998453776041,-0.03090576171875,0.5517241379310345,0.4434782608695652,0.6667372881355929,-0.1034482758620689,-0.1826086956521739,-0.0347751124437781,116,0.5479345415017745,-0.1049755209693385,-0.1608598427682941,-0.0557942399472174,0.0082443901901115,0.009503463908592,0.7403859572468737,0.2376821955045064,targeted,neutral energy at alpha=1,0.0088344381615698,True
