model_name,target,predictor,decline_frac,coverage,n_declined,adverse_avoided_frac,loss_remaining_rate,precision_declined,suppression_coverage
llama-3.1-8b-instruct,new_error,random_order_expected,0.95,0.050000000000000044,251,0.95,0.002083333333333335,0.041666666666666664,0.050000000000000044
llama-3.1-8b-instruct,new_error,random_order_expected,1.0,0.0,264,1.0,0.0,0.041666666666666664,0.0
qwen2.5-7b-instruct,new_error,2_baseline,0.0,1.0,0,0.0,0.050724637681159424,,1.0
qwen2.5-7b-instruct,new_error,2_baseline,0.05,0.95,14,0.2857142857142857,0.036231884057971016,0.2857142857142857,0.8461538461538461
qwen2.5-7b-instruct,new_error,2_baseline,0.1,0.9,28,0.2857142857142857,0.036231884057971016,0.14285714285714285,0.8
qwen2.5-7b-instruct,new_error,2_baseline,0.15,0.85,41,0.35714285714285715,0.03260869565217391,0.12195121951219512,0.7230769230769231
qwen2.5-7b-instruct,new_error,2_baseline,0.2,0.8,55,0.5714285714285714,0.021739130434782608,0.14545454545454545,0.6307692307692307
qwen2.5-7b-instruct,new_error,2_baseline,0.25,0.75,69,0.6428571428571429,0.018115942028985508,0.13043478260869565,0.5076923076923077
qwen2.5-7b-instruct,new_error,2_baseline,0.3,0.7,83,0.7857142857142857,0.010869565217391304,0.13253012048192772,0.4461538461538462
qwen2.5-7b-instruct,new_error,2_baseline,0.35,0.65,97,0.7857142857142857,0.010869565217391304,0.1134020618556701,0.4
qwen2.5-7b-instruct,new_error,2_baseline,0.4,0.6,110,0.7857142857142857,0.010869565217391304,0.1,0.3384615384615385
qwen2.5-7b-instruct,new_error,2_baseline,0.45,0.55,124,0.7857142857142857,0.010869565217391304,0.08870967741935484,0.3384615384615385
qwen2.5-7b-instruct,new_error,2_baseline,0.5,0.5,138,0.7857142857142857,0.010869565217391304,0.07971014492753623,0.3230769230769231
qwen2.5-7b-instruct,new_error,2_baseline,0.55,0.44999999999999996,152,0.7857142857142857,0.010869565217391304,0.07236842105263158,0.27692307692307694
qwen2.5-7b-instruct,new_error,2_baseline,0.6,0.4,166,0.7857142857142857,0.010869565217391304,0.06626506024096386,0.23076923076923078
qwen2.5-7b-instruct,new_error,2_baseline,0.65,0.35,179,0.7857142857142857,0.010869565217391304,0.061452513966480445,0.18461538461538463
qwen2.5-7b-instruct,new_error,2_baseline,0.7,0.30000000000000004,193,0.8571428571428571,0.007246376811594203,0.06217616580310881,0.12307692307692308
qwen2.5-7b-instruct,new_error,2_baseline,0.75,0.25,207,0.8571428571428571,0.007246376811594203,0.057971014492753624,0.09230769230769231
qwen2.5-7b-instruct,new_error,2_baseline,0.8,0.19999999999999996,221,0.8571428571428571,0.007246376811594203,0.05429864253393665,0.07692307692307693
qwen2.5-7b-instruct,new_error,2_baseline,0.85,0.15000000000000002,235,0.8571428571428571,0.007246376811594203,0.05106382978723404,0.07692307692307693
qwen2.5-7b-instruct,new_error,2_baseline,0.9,0.09999999999999998,248,1.0,0.0,0.056451612903225805,0.06153846153846154
qwen2.5-7b-instruct,new_error,2_baseline,0.95,0.050000000000000044,262,1.0,0.0,0.05343511450381679,0.046153846153846156
qwen2.5-7b-instruct,new_error,2_baseline,1.0,0.0,276,1.0,0.0,0.050724637681159424,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.0,1.0,0,0.0,0.050724637681159424,,1.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.05,0.95,14,0.0,0.050724637681159424,0.0,0.7846153846153846
qwen2.5-7b-instruct,new_error,3_audit_only,0.1,0.9,28,0.07142857142857142,0.04710144927536232,0.03571428571428571,0.5692307692307692
qwen2.5-7b-instruct,new_error,3_audit_only,0.15,0.85,41,0.07142857142857142,0.04710144927536232,0.024390243902439025,0.36923076923076925
qwen2.5-7b-instruct,new_error,3_audit_only,0.2,0.8,55,0.21428571428571427,0.03985507246376811,0.05454545454545454,0.15384615384615385
qwen2.5-7b-instruct,new_error,3_audit_only,0.25,0.75,69,0.2857142857142857,0.036231884057971016,0.057971014492753624,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.3,0.7,83,0.35714285714285715,0.03260869565217391,0.060240963855421686,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.35,0.65,97,0.5,0.025362318840579712,0.07216494845360824,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.4,0.6,110,0.5,0.025362318840579712,0.06363636363636363,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.45,0.55,124,0.6428571428571429,0.018115942028985508,0.07258064516129033,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.5,0.5,138,0.7142857142857143,0.014492753623188406,0.07246376811594203,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.55,0.44999999999999996,152,0.8571428571428571,0.007246376811594203,0.07894736842105263,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.6,0.4,166,0.8571428571428571,0.007246376811594203,0.07228915662650602,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.65,0.35,179,0.8571428571428571,0.007246376811594203,0.0670391061452514,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.7,0.30000000000000004,193,0.8571428571428571,0.007246376811594203,0.06217616580310881,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.75,0.25,207,0.8571428571428571,0.007246376811594203,0.057971014492753624,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.8,0.19999999999999996,221,0.9285714285714286,0.0036231884057971015,0.058823529411764705,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.85,0.15000000000000002,235,1.0,0.0,0.059574468085106386,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.9,0.09999999999999998,248,1.0,0.0,0.056451612903225805,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,0.95,0.050000000000000044,262,1.0,0.0,0.05343511450381679,0.0
qwen2.5-7b-instruct,new_error,3_audit_only,1.0,0.0,276,1.0,0.0,0.050724637681159424,0.0
