model_name,source,erase_rank,is_operating_rank,stratum,n_pairs,n_seeds,W_win_rate,T_tie_share,L_worsened_share,D_paired_abs_change,mean_pre,mean_post,R_ratio_of_means,n_initially_failing,X_threshold_crossing,B_already_below_share,W_win_rate_ci_lo,W_win_rate_ci_hi,L_worsened_share_ci_lo,L_worsened_share_ci_hi,D_paired_abs_change_ci_lo,D_paired_abs_change_ci_hi,R_ratio_of_means_ci_lo,R_ratio_of_means_ci_hi,X_threshold_crossing_ci_lo,X_threshold_crossing_ci_hi
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,8,True,pooled,1000,508,0.56,0.02,0.42,-0.1133270263671875,0.5260761032104492,0.41274907684326173,0.21541945295670006,205,0.5219512195121951,0.795,0.5298056781927749,0.5914644935756739,0.38877481603365777,0.4497522325610442,-0.14918957271753647,-0.0780379303338946,0.15498685283620267,0.27147821920397813,0.4454845914873353,0.6009864978687562
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,8,True,bbq,426,218,0.5704225352112676,0.02112676056338028,0.4084507042253521,-0.09254018577611503,0.3374012870967668,0.24486110132065178,0.2742733632476466,49,0.8571428571428571,0.8849765258215962,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,8,True,crows,304,156,0.5361842105263158,0.009868421052631578,0.45394736842105265,-0.0693712736430921,0.5232572555541992,0.45388598191110713,0.1325758465969452,57,0.2631578947368421,0.8125,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,8,True,stereo,270,134,0.5703703703703704,0.02962962962962963,0.4,-0.1956149631076389,0.8269368489583333,0.6313218858506945,0.23655369010831828,99,0.5050505050505051,0.6333333333333333,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,1,False,pooled,1000,508,0.506,0.07,0.424,-0.05048329162597656,1.0319754791259765,0.9814921875,0.048919080585841934,407,0.257985257985258,0.593,0.4750430845825583,0.535750165997161,0.3939690878635602,0.45419647171093647,-0.09035587097084238,-0.008186787432442938,0.008408234240670132,0.08591813207523617,0.2149718196457327,0.30273518194819643
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,1,False,bbq,426,218,0.5352112676056338,0.07276995305164319,0.392018779342723,-0.07329423214907937,0.8029782648937244,0.729684032744645,0.09127797769069124,151,0.3708609271523179,0.6455399061032864,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,1,False,crows,304,156,0.46710526315789475,0.09210526315789473,0.4407894736842105,-0.01117907072368421,0.9764854029605263,0.9653063322368421,0.011448272232018275,120,0.19166666666666668,0.6052631578947368,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,1,False,stereo,270,134,0.5037037037037037,0.040740740740740744,0.45555555555555555,-0.058746337890625,1.455759910300926,1.397013572410301,0.04035441385281813,136,0.19117647058823528,0.4962962962962963,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,2,False,pooled,1000,508,0.519,0.057,0.424,-0.09958158874511719,1.0319754791259765,0.9323938903808594,0.09649608034239043,407,0.32432432432432434,0.593,0.48948683263647874,0.5503586194667139,0.39494678932178934,0.45345758602639336,-0.147243536953111,-0.04995486886252274,0.051120813746211344,0.13873269513240385,0.276579585241045,0.3743721687254004
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,2,False,bbq,426,218,0.5492957746478874,0.06103286384976526,0.38967136150234744,-0.13178331975086194,0.8029782648937244,0.6711949451428624,0.1641181654752557,151,0.46357615894039733,0.6455399061032864,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,2,False,crows,304,156,0.4375,0.06907894736842106,0.4934210526315789,-0.03163548519736842,0.9764854029605263,0.9448499177631579,0.03239729452325191,120,0.225,0.6052631578947368,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,2,False,stereo,270,134,0.562962962962963,0.037037037037037035,0.4,-0.12527669270833333,1.455759910300926,1.3304832175925927,0.08605587488835087,136,0.25735294117647056,0.4962962962962963,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,4,True,pooled,1000,508,0.577,0.052,0.371,-0.23668468475341797,1.0319754791259765,0.7952907943725586,0.22935107426571433,407,0.457002457002457,0.593,0.5466656746031746,0.6071075054387237,0.34070024356729356,0.40161158228078475,-0.3042286806328352,-0.16573680019885573,0.1664222329772624,0.28183463009240023,0.4055066475978601,0.5110037966394935
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,4,True,bbq,426,218,0.5985915492957746,0.0539906103286385,0.3474178403755869,-0.23218946501682622,0.8029782648937244,0.5707887998768981,0.2891603361736783,151,0.6490066225165563,0.6455399061032864,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,4,True,crows,304,156,0.5230263157894737,0.07236842105263158,0.40460526315789475,-0.16624691611842105,0.9764854029605263,0.8102384868421053,0.17025028291707234,120,0.3333333333333333,0.6052631578947368,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,4,True,stereo,270,134,0.6037037037037037,0.025925925925925925,0.37037037037037035,-0.32308485243055557,1.455759910300926,1.1326750578703704,0.2219355335618285,136,0.35294117647058826,0.4962962962962963,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,8,False,pooled,1000,508,0.535,0.056,0.409,-0.16428700256347656,1.0319754791259765,0.8676884765625,0.1591966145383784,407,0.4275184275184275,0.593,0.50152540531054,0.5693281144574618,0.3771140881725825,0.4424623175883256,-0.23899246268236343,-0.08890312190546604,0.09221200699734246,0.22164963977159785,0.3743650807996819,0.4830117607054078
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,8,False,bbq,426,218,0.4812206572769953,0.05868544600938967,0.460093896713615,-0.02098352136746259,0.8029782648937244,0.7819947435262617,0.026132116253781534,151,0.4900662251655629,0.6455399061032864,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,8,False,crows,304,156,0.5625,0.0625,0.375,-0.22342722039473684,0.9764854029605263,0.7530581825657895,0.2288075374371661,120,0.425,0.6052631578947368,,,,,,,,,,
qwen2.5-7b-instruct,cure_recovery_sweep_qwen2.5-7b-instruct.parquet,8,False,stereo,270,134,0.5888888888888889,0.044444444444444446,0.36666666666666664,-0.32380054615162035,1.455759910300926,1.1319593641493055,0.22242716251520234,136,0.3602941176470588,0.4962962962962963,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,1,True,pooled,1000,508,0.487,0.113,0.4,-0.07133662414550782,0.5196454467773437,0.4483088226318359,0.13727941731792737,158,0.25316455696202533,0.842,0.45445255921508637,0.5206482007717388,0.3686312706900942,0.4310370638034276,-0.12090518305726854,-0.026236821006810972,0.05488726591656937,0.2108231207970529,0.17918629130093483,0.327312385600976
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,1,True,bbq,426,218,0.48826291079812206,0.09624413145539906,0.4154929577464789,-0.013070513944670629,0.3342758680173489,0.32120535407267825,0.03910097974524518,43,0.20930232558139536,0.8990610328638498,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,1,True,crows,304,156,0.41776315789473684,0.13157894736842105,0.4506578947368421,0.04690461409719367,0.39112542804918793,0.4380300421463816,-0.11992218028661372,47,0.23404255319148937,0.8453947368421053,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,1,True,stereo,270,134,0.562962962962963,0.11851851851851852,0.31851851851851853,-0.2963984736689815,0.9568214699074075,0.6604229962384259,0.30977406234170757,68,0.29411764705882354,0.7481481481481481,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,2,False,pooled,1000,508,0.504,0.102,0.394,-0.13333203125,0.5196454467773437,0.3863134155273438,0.25658269898616026,158,0.4810126582278481,0.842,0.4721100071762639,0.5362377952098807,0.3638294699885792,0.4235352358765288,-0.197023907404309,-0.07613795374671706,0.1639712967494616,0.3372185436450331,0.394281512605042,0.5670898898505112
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,2,False,bbq,426,218,0.5046948356807511,0.08685446009389672,0.4084507042253521,-0.055994096496295484,0.3342758680173489,0.2782817715210534,0.16750864137577948,43,0.6511627906976745,0.8990610328638498,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,2,False,crows,304,156,0.4473684210526316,0.10526315789473684,0.4473684210526316,0.03260391636898643,0.39112542804918793,0.42372934441817434,-0.08335923473859674,47,0.3829787234042553,0.8453947368421053,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,2,False,stereo,270,134,0.5666666666666667,0.12222222222222222,0.3111111111111111,-0.4421856915509259,0.9568214699074075,0.5146357783564814,0.4621402272606997,68,0.4411764705882353,0.7481481481481481,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,4,False,pooled,1000,508,0.528,0.1,0.372,-0.15701850843429566,0.5196454467773437,0.3626269383430481,0.3021646959635047,158,0.5063291139240507,0.842,0.49505904394787303,0.5612810721719063,0.3385149732538239,0.4043437055757384,-0.22254807749861677,-0.09560207300368104,0.20776646504557303,0.3821290252634587,0.42855158730158727,0.5900832862789384
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,4,False,bbq,426,218,0.5187793427230047,0.08450704225352113,0.3967136150234742,-0.06702111472546214,0.3342758680173489,0.26725475329188675,0.20049641968765675,43,0.7441860465116279,0.8990610328638498,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,4,False,crows,304,156,0.5131578947368421,0.08552631578947369,0.40131578947368424,-0.016925309833727385,0.39112542804918793,0.3742001182154605,0.043273355859642315,47,0.46808510638297873,0.8453947368421053,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,4,False,stereo,270,134,0.5592592592592592,0.14074074074074075,0.3,-0.4567489606362802,0.9568214699074075,0.5000725092711272,0.47736069371486856,68,0.38235294117647056,0.7481481481481481,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,8,False,pooled,1000,508,0.534,0.089,0.377,-0.17393550109863282,0.5196454467773437,0.34570994567871094,0.334719571156293,158,0.5632911392405063,0.842,0.5024416542050251,0.5669223551393723,0.343809074843767,0.41020861315870605,-0.24312289308642115,-0.11090181804884552,0.24036069188145504,0.41725080863237496,0.47368421052631576,0.6451907946498818
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,8,False,bbq,426,218,0.5211267605633803,0.07746478873239436,0.4014084507042254,-0.06985212155910725,0.3342758680173489,0.2644237464582416,0.20896549300256972,43,0.7674418604651163,0.8990610328638498,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,8,False,crows,304,156,0.5328947368421053,0.09210526315789473,0.375,-0.03779130232961554,0.39112542804918793,0.35333412571957235,0.09662195198636625,47,0.5531914893617021,0.8453947368421053,,,,,,,,,,
gemma-2-2b-it,cure_recovery_sweep_gemma-2-2b-it.parquet,8,False,stereo,270,134,0.5555555555555556,0.1037037037037037,0.34074074074074073,-0.49144422743055555,0.9568214699074075,0.46537724247685186,0.5136216555405191,68,0.4411764705882353,0.7481481481481481,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,1,True,pooled,1000,508,0.387,0.206,0.407,0.0535205078125,0.5808125,0.6343330078125,-0.09214765145808679,218,0.20642201834862386,0.782,0.3571375160233585,0.41758269536328185,0.3763438252870686,0.43794771029719737,-0.0035654416824771884,0.12302037671047282,-0.21482115836355728,0.005980321186421676,0.1524565518381517,0.2647132352941176
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,1,True,bbq,426,218,0.4014084507042254,0.20892018779342722,0.38967136150234744,0.07883335167253522,0.5347711267605634,0.6136044784330986,-0.1474151234567902,83,0.3253012048192771,0.8051643192488263,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,1,True,crows,304,156,0.3848684210526316,0.21052631578947367,0.40460526315789475,0.02055921052631579,0.6519325657894737,0.6724917763157895,-0.031535793125197165,76,0.11842105263157894,0.75,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,1,True,stereo,270,134,0.36666666666666664,0.1962962962962963,0.43703703703703706,0.050694444444444445,0.5733796296296296,0.6240740740740741,-0.08841340331045622,59,0.15254237288135594,0.7814814814814814,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,2,False,pooled,1000,508,0.483,0.179,0.338,-0.08415625,0.5808125,0.49665625,0.1448940062412567,218,0.5825688073394495,0.782,0.4523054187192118,0.5146213135578672,0.30723458355976274,0.37054872330874544,-0.14217173888900927,-0.026165595945280545,0.047327359927751445,0.23509256155821842,0.5119561066558843,0.6575342465753424
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,2,False,bbq,426,218,0.48826291079812206,0.19953051643192488,0.31220657276995306,-0.05890551643192488,0.5347711267605634,0.4758656103286385,0.11015089163237313,83,0.7108433734939759,0.8051643192488263,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,2,False,crows,304,156,0.506578947368421,0.15789473684210525,0.3355263157894737,-0.12705592105263158,0.6519325657894737,0.5248766447368421,0.19489120151371797,76,0.5,0.75,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,2,False,stereo,270,134,0.44814814814814813,0.17037037037037037,0.3814814814814815,-0.07569444444444444,0.5733796296296296,0.4976851851851852,0.13201453371013327,59,0.5084745762711864,0.7814814814814814,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,4,False,pooled,1000,508,0.324,0.104,0.572,0.3539375,0.5808125,0.93475,-0.6093834068653827,218,0.518348623853211,0.782,0.292256406390072,0.3553461480348273,0.538011251533088,0.6051651584231371,0.2561364481872294,0.4552676070461061,-0.825014742439137,-0.41537505167948274,0.44998853211009177,0.5876848560645953
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,4,False,bbq,426,218,0.18544600938967137,0.08450704225352113,0.7300469483568075,0.8472711267605634,0.5347711267605634,1.3820422535211268,-1.5843621399176957,83,0.40963855421686746,0.8051643192488263,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,4,False,crows,304,156,0.5032894736842105,0.12171052631578948,0.375,-0.18955592105263158,0.6519325657894737,0.4623766447368421,0.2907600126143173,76,0.7236842105263158,0.75,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,4,False,stereo,270,134,0.34074074074074073,0.11481481481481481,0.5444444444444444,0.1875,0.5733796296296296,0.7608796296296296,-0.3270084779975777,59,0.4067796610169492,0.7814814814814814,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,8,False,pooled,1000,508,0.443,0.135,0.422,-0.0495,0.5808125,0.5313125,0.0852254385020983,218,0.6972477064220184,0.782,0.41151946740119244,0.4729469131943806,0.38976377952755903,0.45427805158974627,-0.11744408358981309,0.023263113500286613,-0.04223474084731466,0.1908262965194351,0.6327319536489543,0.7671416340508805
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,8,False,bbq,426,218,0.4131455399061033,0.14553990610328638,0.4413145539906103,0.07144953051643192,0.5347711267605634,0.6062206572769953,-0.13360768175582982,83,0.7349397590361446,0.8051643192488263,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,8,False,crows,304,156,0.5032894736842105,0.13486842105263158,0.3618421052631579,-0.24198190789473684,0.6519325657894737,0.40995065789473684,0.3711762850835698,76,0.7105263157894737,0.75,,,,,,,,,,
phi-4-mini-instruct,cure_recovery_sweep_phi-4-mini-instruct.parquet,8,False,stereo,270,134,0.4222222222222222,0.11851851851851852,0.45925925925925926,-0.02361111111111111,0.5733796296296296,0.5497685185185185,0.04117884537747285,59,0.6271186440677966,0.7814814814814814,,,,,,,,,,
