model_name,source,erase_rank,is_operating_rank,stratum,n_pairs,n_seeds,W_win_rate,T_tie_share,L_worsened_share,D_paired_abs_change,mean_pre,mean_post,R_ratio_of_means,n_initially_failing,X_threshold_crossing,B_already_below_share,W_win_rate_ci_lo,W_win_rate_ci_hi,L_worsened_share_ci_lo,L_worsened_share_ci_hi,D_paired_abs_change_ci_lo,D_paired_abs_change_ci_hi,R_ratio_of_means_ci_lo,R_ratio_of_means_ci_hi,X_threshold_crossing_ci_lo,X_threshold_crossing_ci_hi
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,1,False,pooled,1000,508,0.493,0.028,0.479,-0.022938087463378908,0.5260761032104492,0.5031380157470703,0.04360222280273929,205,0.23414634146341465,0.795,0.4614575226192452,0.5247262673708042,0.4486790094360731,0.511797619047619,-0.0434619649788267,-0.001999690435362328,0.0039060963819393425,0.08026391887789942,0.17560975609756097,0.2964866197013777
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,1,False,bbq,426,218,0.4859154929577465,0.025821596244131457,0.48826291079812206,-0.015221161461771934,0.3374012870967668,0.3221801256349949,0.04511293241571568,49,0.30612244897959184,0.8849765258215962,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,1,False,crows,304,156,0.5098684210526315,0.01644736842105263,0.47368421052631576,-0.014491884331954153,0.5232572555541992,0.5087653712222451,0.02769552486492577,57,0.12280701754385964,0.8125,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,1,False,stereo,270,134,0.48518518518518516,0.044444444444444446,0.4703703703703704,-0.044623480902777776,0.8269368489583333,0.7823133680555555,0.053962380511871744,99,0.26262626262626265,0.6333333333333333,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,2,False,pooled,1000,508,0.542,0.023,0.435,-0.06978376770019531,0.5260761032104492,0.4562923355102539,0.1326495677608821,205,0.3951219512195122,0.795,0.510220521325623,0.571728692274952,0.40631258535560455,0.46764780154486035,-0.09765306073733854,-0.03873741344157797,0.07617294461208729,0.17881714096219037,0.32828088578088577,0.4660269631269178
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,2,False,bbq,426,218,0.5727699530516432,0.018779342723004695,0.4084507042253521,-0.08538755676556081,0.3374012870967668,0.252013730331206,0.2530741880100523,49,0.6326530612244898,0.8849765258215962,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,2,False,crows,304,156,0.5328947368421053,0.01644736842105263,0.4506578947368421,-0.042216978575053965,0.5232572555541992,0.48104027697914525,0.08068111455108362,57,0.3157894736842105,0.8125,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,2,False,stereo,270,134,0.5037037037037037,0.037037037037037035,0.45925925925925926,-0.07620261863425926,0.8269368489583333,0.750734230324074,0.09215046920481207,99,0.32323232323232326,0.6333333333333333,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,4,False,pooled,1000,508,0.577,0.013,0.41,-0.10676790618896484,0.5260761032104492,0.41930819702148436,0.20295144663937315,205,0.4585365853658537,0.795,0.5453625599752361,0.6072478702533799,0.3800686709901781,0.4417444530374154,-0.13899151731571022,-0.07357475376758485,0.14372955908938354,0.2543238290560772,0.38349514563106796,0.5320276695341029
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,4,False,bbq,426,218,0.6009389671361502,0.009389671361502348,0.38967136150234744,-0.1022276005274813,0.3374012870967668,0.2351736865692855,0.3029852120811928,49,0.8163265306122449,0.8849765258215962,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,4,False,crows,304,156,0.5526315789473685,0.006578947368421052,0.4407894736842105,-0.06675263455039576,0.5232572555541992,0.45650462100380346,0.1275713501185871,57,0.2631578947368421,0.8125,,,,,,,,,,
llama-3.1-8b-instruct,cure_recovery_sweep_llama-3.1-8b-instruct.parquet,4,False,stereo,270,134,0.5666666666666667,0.025925925925925925,0.4074074074074074,-0.15898573133680555,0.8269368489583333,0.6679511176215278,0.19225861265836064,99,0.3939393939393939,0.6333333333333333,,,,,,,,,,
