model_name,phase,id,comparison,statistic,label,point,lo,hi,p_boot,n_seeds,p_holm,reject_0.05_holm
phi-4-mini-instruct,test,C1,"cure vs unedited on D (paired absolute |C| change), demographic pairs",D,confirmatory,0.18518518518518517,0.05787037037037037,0.3194444444444444,0.002,27,0.008,True
phi-4-mini-instruct,test,C2,cure vs unedited on generation accuracy (attempted denominator),delta generation accuracy (attempted),confirmatory,0.018518518518518517,-0.037037037037037035,0.07407407407407407,0.806,27,1.0,False
phi-4-mini-instruct,test,C3,cure vs mean of three rank-matched random controls on D,D_cure - D_random_mean,confirmatory,0.1674382716049383,0.047048611111111104,0.29475308641975306,0.005,27,0.015,True
phi-4-mini-instruct,test,C4,cure vs mean of three rank-matched random controls on generation accuracy,acc_cure - acc_random_mean,confirmatory,0.006172839506172838,-0.04938271604938272,0.05555555555555555,0.925,27,1.0,False
phi-4-mini-instruct,dev,C1,"cure vs unedited on D (paired absolute |C| change), demographic pairs",D,"exploratory (dev; same four comparisons, not confirmatory)",0.174375,0.10625,0.24690624999999983,0.0005,100,0.002,True
phi-4-mini-instruct,dev,C2,cure vs unedited on generation accuracy (attempted denominator),delta generation accuracy (attempted),"exploratory (dev; same four comparisons, not confirmatory)",-0.02,-0.085,0.035,0.558,100,0.814,False
phi-4-mini-instruct,dev,C3,cure vs mean of three rank-matched random controls on D,D_cure - D_random_mean,"exploratory (dev; same four comparisons, not confirmatory)",0.16854166666666665,0.10248958333333333,0.24376041666666667,0.0005,100,0.002,True
phi-4-mini-instruct,dev,C4,cure vs mean of three rank-matched random controls on generation accuracy,acc_cure - acc_random_mean,"exploratory (dev; same four comparisons, not confirmatory)",-0.02333333333333333,-0.08333333333333331,0.03166666666666667,0.407,100,0.814,False
