model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,kind,matched_to,energy_target,feasible
phi-4-mini-instruct,dev,magnitude,unedited,60,60,117,0.4166666666666667,0.328125,0.512552083333333,0.0,0.0,0.0,0.5897435897435898,0.4745762711864407,0.7008547008547008,-0.0,-0.0,-0.0,117,0.5601737971890731,-0.0,-0.0,-0.0,,,0.0,0.371363361676534,none,,,True
phi-4-mini-instruct,dev,magnitude,targeted,60,60,117,0.271875,0.21666666666666667,0.32708333333333334,-0.14479166666666668,-0.22815104166666667,-0.06559895833333348,0.7094017094017094,0.5948275862068966,0.8205128205128205,-0.11965811965811966,-0.211864406779661,-0.02564102564102564,117,0.67703030690528,-0.11685650971620688,-0.17119949329767328,-0.06725263324674934,0.040543146898071244,0.02200868555680542,1.0,0.5196899016698201,targeted,operating,0.041325008236564396,True
phi-4-mini-instruct,dev,magnitude,random_1_matched,60,60,117,0.42604166666666665,0.34059895833333337,0.5145833333333333,0.009375,-0.036458333333333336,0.056276041666666526,0.5811965811965812,0.47058823529411764,0.6923076923076923,0.008547008547008548,-0.02586206896551724,0.043478260869565216,117,0.5629521660768398,-0.0027783688877668867,-0.007961427589633906,0.0023301894229905444,0.0006585574503993797,0.0004395095334062769,1.0,0.52197638352712,random,targeted energy,0.041325008236564396,True
phi-4-mini-instruct,dev,magnitude,targeted_at_random_1_energy,60,60,117,0.346875,0.27395833333333336,0.42083333333333334,-0.06979166666666667,-0.12916666666666668,-0.011458333333333333,0.6068376068376068,0.4912797015357867,0.717948717948718,-0.017094017094017096,-0.07627118644067797,0.026554598609355246,117,0.5891772461721803,-0.02900344898310714,-0.05260646671180064,-0.009367223908642796,0.0006596585078548451,0.0007811852014739744,0.10573051422467868,0.5196077744166057,targeted,random_1 energy at alpha=1,0.0006394046439796633,True
phi-4-mini-instruct,dev,magnitude,random_2_matched,60,60,117,0.4114583333333333,0.32916666666666666,0.496875,-0.005208333333333333,-0.04791666666666667,0.03854166666666667,0.5897435897435898,0.4745762711864407,0.7017543859649122,-0.0,-0.025423728813559324,0.02564102564102564,117,0.5583054210269486,0.0018683761621246465,-0.002385158235509235,0.0061390642462595965,0.0002979214727551154,0.00026324211023871785,1.0,0.5260827819506327,random,targeted energy,0.041325008236564396,True
phi-4-mini-instruct,dev,magnitude,targeted_at_random_2_energy,60,60,117,0.3572916666666667,0.28125,0.440625,-0.059375,-0.11354166666666667,-0.008307291666666808,0.5982905982905983,0.4830508474576271,0.7094017094017094,-0.008547008547008548,-0.05042016806722689,0.02608695652173913,117,0.5747508753918077,-0.014577078202734605,-0.026741219015031552,-0.004465793005136819,0.0002774436974271338,0.0003170629223612565,0.060341174910992404,0.5268770138422648,targeted,random_2 energy at alpha=1,0.00030707495227884596,True
phi-4-mini-instruct,dev,magnitude,random_3_matched,60,60,117,0.3927083333333333,0.315625,0.4739583333333333,-0.023958333333333335,-0.075,0.026041666666666668,0.5897435897435898,0.4789915966386555,0.6974989133584467,-0.0,-0.042381935390409915,0.04202570858852016,117,0.5579464476737102,0.0022273495153628067,-0.0041694165207087335,0.008503236553279675,0.00026335899603862413,0.00025998891543721296,1.0,0.5345998287200928,random,targeted energy,0.041325008236564396,True
phi-4-mini-instruct,dev,magnitude,targeted_at_random_3_energy,60,60,117,0.3697916666666667,0.2916666666666667,0.45208333333333334,-0.046875,-0.09583333333333334,0.002109374999999858,0.6068376068376068,0.49572649572649574,0.714316502463054,-0.017094017094017096,-0.059322033898305086,0.017395118230358504,117,0.5728579090795914,-0.012684111890518454,-0.023680865978984854,-0.0033134454900463134,0.0002456926121021929,0.00027894347150106565,0.0558875130393964,0.5284669081370036,targeted,random_3 energy at alpha=1,0.0002634185999511023,True
phi-4-mini-instruct,dev,magnitude,neutral_matched,60,60,117,0.346875,0.2676822916666667,0.4322916666666667,-0.06979166666666667,-0.13856770833333334,-0.0020833333333333333,0.5897435897435898,0.47863247863247865,0.6964285714285714,-0.0,-0.034482758620689655,0.03389830508474576,117,0.5766087212192372,-0.016434924030164166,-0.029430331465071,-0.005279658346133276,0.0043313895249130424,0.003518279463774063,1.0,0.528362528483073,neutral,targeted energy,0.041325008236564396,True
phi-4-mini-instruct,dev,magnitude,targeted_at_neutral_energy,60,60,117,0.27708333333333335,0.2125,0.34479166666666666,-0.13958333333333334,-0.22083333333333333,-0.06458333333333334,0.6666666666666666,0.5499252136752137,0.7796870353850728,-0.07692307692307693,-0.1623931623931624,0.008620689655172414,117,0.6575237240562689,-0.09734992686719583,-0.14734207487593914,-0.05254998575261022,0.004788861067498613,0.004337558156714253,0.3416524773673709,0.531962243715922,targeted,neutral energy at alpha=1,0.004823720073336035,True
