model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
gemma-2-2b-it,dev,depth,unedited,3,3,6,0.6354166666666666,0.375,1.09375,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.4217756438670171,-0.0,-0.0,-0.0,,,0.0,0.28705263137817383,,,,,,,,,0,,none
gemma-2-2b-it,dev,depth,full_frozen,3,3,6,0.40625,0.1875,0.6875,-0.22916666666666666,-0.40625,-0.09375,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.47719218734009733,-0.05541654347308026,-0.19175203815611233,0.025514277980512767,0.008041615185684787,0.0068915259421289355,1.0,21.559101819992065,1.0,0.0,,1.0,12.0,0.6666666666666666,8.0,0.6666666666666666,26,1.0,frozen
gemma-2-2b-it,dev,depth,early_frozen,3,3,6,0.3333333333333333,0.0625,0.6875,-0.3020833333333333,-0.40625,-0.1875,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.4712947127711889,-0.04951906890417182,-0.16519373898790327,0.01664546566578955,0.013575164356386274,0.00576288698198154,1.0,21.012984832127888,1.0,0.0,,1.0,12.0,0.6666666666666666,,,9,1.0,frozen
gemma-2-2b-it,dev,depth,middle_frozen,3,3,6,0.3541666666666667,0.09375,0.53125,-0.28125,-0.5625,0.0625,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.45590895916726043,-0.034133315300243335,-0.13084752083388287,0.028421778651005994,0.009297834913142601,0.006908188381531569,1.0,16.166585683822632,9.0,0.0,,1.0,,1.0,,,9,1.0,frozen
gemma-2-2b-it,dev,depth,late_frozen,3,3,6,0.4583333333333333,0.0625,1.0625,-0.17708333333333334,-0.3125,-0.03125,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.46970387279512504,-0.04792822892810796,-0.14282007402915328,-4.305465998832858e-06,0.0162669985037764,0.026059086772866082,1.0,18.797307173411053,18.0,0.0,,1.0,,1.0,,,8,1.0,frozen
gemma-2-2b-it,dev,depth,full_sequential,3,3,6,0.3020833333333333,0.15625,0.4375,-0.3333333333333333,-0.9375,0.0625,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.45052566260776133,-0.028750018740744242,-0.11412228410539467,0.027871266677766852,0.007575730311205353,0.009951186782202215,1.0,20.786094665527344,1.0,0.0,,1.0,11.0,0.6666666666666666,8.0,0.6666666666666666,26,1.0,sequential
