model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,restore_mode,n_coords,removed_energy_A_mean,restored_energy_A_mean
gemma-2-2b-it,dev,massive,unedited,3,3,6,0.6354166666666666,0.375,1.09375,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.4217756438670171,-0.0,-0.0,-0.0,,,0.0,0.297845999399821,none,0,,
gemma-2-2b-it,dev,massive,erased,3,3,6,0.40625,0.1875,0.6875,-0.22916666666666666,-0.40625,-0.09375,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.47719218734009733,-0.05541654347308026,-0.19175203815611233,0.025514277980512767,0.008041615185684787,0.0068915259421289355,1.0,0.3654197057088216,none,0,,
gemma-2-2b-it,dev,massive,restore_massive,3,3,6,0.2604166666666667,0.15625,0.4375,-0.375,-0.65625,-0.1875,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.47266803314870875,-0.05089238928169163,-0.18626243597431003,0.03359778863364243,0.0076080269787012905,0.006457378080124385,1.0,0.42139339447021484,massive,2,0.009270096051669246,0.0016548940080504592
gemma-2-2b-it,dev,massive,erase_massive_only,3,3,6,0.6354166666666666,0.1875,0.9375,0.0,-0.25,0.40625,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.42184054347770794,-6.489961069085204e-05,-0.0010039798140447165,0.000798321772599997,0.010325908645001623,0.005685582732809243,1.0,0.41794466972351074,complement,2,0.05812131067740058,0.047807441083193465
gemma-2-2b-it,dev,massive,restore_all,3,3,6,0.53125,0.15625,1.0,-0.10416666666666667,-0.28125,0.0625,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.41081693065689157,0.01095871321012553,3.331837804376736e-06,0.03170780026072333,9.094629248326772e-07,8.849498659623418e-07,1.0,0.41349124908447266,all,2304,0.0989661435026491,0.0989661435026491
gemma-2-2b-it,dev,massive,restore_random_1,3,3,6,0.40625,0.125,0.71875,-0.22916666666666666,-0.375,0.0,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.47197874119400085,-0.05020309732698373,-0.18811628812210215,0.03752530038668592,0.00811009729961195,0.0068746086580462745,1.0,0.4122145175933838,random,2,0.008100742032843987,6.5244754855482e-06
gemma-2-2b-it,dev,massive,restore_equal_energy_1,3,3,6,0.1875,0.03125,0.46875,-0.4479166666666667,-0.625,-0.3125,0.3333333333333333,0.0,1.0,-0.0,-0.0,-0.0,6,0.4596902781098124,-0.03791463424279529,-0.1677288569498829,0.05400956791002506,0.009323181350101415,0.007635117748536816,1.0,0.4333810011545817,equal_energy,2,0.008039118382554165,0.0014489173477858937
