model_name,part,eraser,n_rows_fit,n_rows_heldout,n_pairs,shrinkage,d,layer,leace_rank,cov_effective_rank_fit,probe_pre,probe_post,max_abs_cov_post_fit,abs_cos_to_contrast_basis
gemma-2-2b-it,part_a,swap_300,696,1052,300.0,True,2304,6,1,545,0.7091254752851711,0.49809885931558934,0.0017777928847005997,0.04736634622578408
gemma-2-2b-it,part_a,swap_300,696,1052,300.0,True,2304,13,1,545,0.7262357414448669,0.5313688212927756,0.002033366168710007,0.08036411215530842
gemma-2-2b-it,part_a,swap_300,696,1052,300.0,True,2304,19,1,546,0.717680608365019,0.5399239543726235,0.0015322809246764786,0.0653654277198815
gemma-2-2b-it,part_a,swap_max,4204,1052,1868.0,True,2304,6,1,1505,0.7062737642585551,0.4847908745247148,0.002632353647118461,0.12179850070470404
gemma-2-2b-it,part_a,swap_max,4204,1052,1868.0,True,2304,13,1,1518,0.69106463878327,0.4914448669201521,0.0048252009812363205,0.23606723474033936
gemma-2-2b-it,part_a,swap_max,4204,1052,1868.0,True,2304,19,1,1518,0.7024714828897338,0.4448669201520912,0.007351525426513518,0.08245411841129613
gemma-2-2b-it,part_a,swap_max_noshrink,4204,1052,1868.0,False,2304,6,1,1505,0.7062737642585551,0.4876425855513308,0.0029468006878864412,0.12179229090747694
gemma-2-2b-it,part_a,swap_max_noshrink,4204,1052,1868.0,False,2304,13,1,1518,0.69106463878327,0.4752851711026616,0.0051463289021538286,0.23606781363083554
gemma-2-2b-it,part_a,swap_max_noshrink,4204,1052,1868.0,False,2304,19,1,1518,0.7024714828897338,0.46577946768060835,0.007480766351284241,0.08245516890989944
gemma-2-2b-it,part_b,gender_large,5570,2054,,True,2304,6,1,1545,1.0,0.48296007789678674,0.000263827825149043,0.06692388440919972
gemma-2-2b-it,part_b,gender_large,5570,2054,,True,2304,13,1,1680,1.0,0.45034079844206426,0.001101667940937638,0.030548112621337387
gemma-2-2b-it,part_b,gender_large,5570,2054,,True,2304,19,1,1672,1.0,0.5511197663096398,0.0014147855649088614,0.06768411319481629
gemma-2-2b-it,part_b,gender_small,61,2054,,True,2304,6,1,60,1.0,0.49951314508276534,8.306846731416081e-06,0.0067992765168076175
gemma-2-2b-it,part_b,gender_small,61,2054,,True,2304,13,1,60,0.9995131450827653,0.49951314508276534,5.25712646557674e-06,0.08804790417352545
gemma-2-2b-it,part_b,gender_small,61,2054,,True,2304,19,1,60,0.9961051606621227,0.49951314508276534,1.1229316446587835e-05,0.03429184830018408
phi-4-mini-instruct,part_a,swap_small,110,1050,50.0,True,3072,8,1,96,0.6819047619047619,0.5,5.597418004816229e-07,0.2947066199186482
phi-4-mini-instruct,part_a,swap_small,110,1050,50.0,True,3072,16,1,96,0.6704761904761904,0.5,1.413171941583807e-06,0.27839006323394877
phi-4-mini-instruct,part_a,swap_small,110,1050,50.0,True,3072,24,1,96,0.6704761904761904,0.5,1.0403719815340908e-06,0.09979153416814167
phi-4-mini-instruct,part_a,swap_300,682,1050,300.0,True,3072,8,1,536,0.7161904761904762,0.5171428571428571,0.00048051036817849205,0.06034306381936322
phi-4-mini-instruct,part_a,swap_300,682,1050,300.0,True,3072,16,1,536,0.7161904761904762,0.4838095238095238,0.0006541553242924101,0.04907119347218643
phi-4-mini-instruct,part_a,swap_300,682,1050,300.0,True,3072,24,1,536,0.7180952380952381,0.49142857142857144,0.00032078695437076155,0.1590034630123004
phi-4-mini-instruct,part_a,swap_max,4102,1050,1868.0,True,3072,8,1,1446,0.6923809523809524,0.4866666666666667,0.0007054783042424019,0.16371343687326756
phi-4-mini-instruct,part_a,swap_max,4102,1050,1868.0,True,3072,16,1,1449,0.7,0.4961904761904762,0.001007906434152081,0.13875654550873504
phi-4-mini-instruct,part_a,swap_max,4102,1050,1868.0,True,3072,24,1,1456,0.6971428571428572,0.44952380952380955,0.002642648538864281,0.07722657085767753
phi-4-mini-instruct,part_a,swap_max_noshrink,4102,1050,1868.0,False,3072,8,1,1446,0.6923809523809524,0.49333333333333335,0.0007967805859520632,0.16371492744411487
phi-4-mini-instruct,part_a,swap_max_noshrink,4102,1050,1868.0,False,3072,16,1,1449,0.7,0.5009523809523809,0.0010580011538576348,0.1387609340641326
phi-4-mini-instruct,part_a,swap_max_noshrink,4102,1050,1868.0,False,3072,24,1,1456,0.6971428571428572,0.47333333333333333,0.0026118729367074823,0.07722320011223265
