model_name,cond,n_seeds,T_raw,T_raw_lo,T_raw_hi,T_mean,T_mean_lo,T_mean_hi,T_unknown_contrast_absdiff,T_unknown_contrast_absdiff_lo,T_unknown_contrast_absdiff_hi,length_slope,length_slope_lo,length_slope_hi,share_seeds_negative_slope
gemma-2-2b-it,B,160,0.12788747763876826,0.10171836350928531,0.15603408548435607,0.05395175826543937,0.0471641294651051,0.06123812435584766,1.163228988647461,0.9827099472284317,1.358994256108999,,,,
gemma-2-2b-it,G1,160,0.09997130308490029,0.05617889157208496,0.15062609404633517,0.10154900234975979,0.08654417071132824,0.11803477934944046,3.7657005310058596,3.1579550987482072,4.41612918138504,-2.64901360585819,-4.636471704538471,-0.6564926712563552,0.6090225563909775
gemma-2-2b-it,LC,10,0.09884967463400735,0.01911015791851814,0.18365418002446413,0.04201746872357913,0.029983224115394745,0.05509167761411861,1.1374930381774901,0.6563334465026855,1.618652629852295,-0.001919349034627285,-0.1127969582875569,0.1093193054199219,0.6
gemma-2-2b-it,MC,10,0.006247838256486769,0.001209954928263413,0.015010798725687283,0.04621275928696818,0.030944265224370042,0.06660175076278355,0.5469235420227051,0.3125051498413086,0.8001873970031739,2.709645775953922,1.8616363286972024,3.5576552232106415,0.0
gemma-2-2b-it,NE,153,0.1232712741412522,0.09709870884055184,0.1521826453432435,0.05178598841912942,0.045164448958486106,0.058902735544136185,1.1327883985978138,0.9507182136366639,1.3257662589036965,0.019682230705763807,-0.01766813758627346,0.057931178067200315,0.47619047619047616
gemma-2-2b-it,RE,160,0.12727839771605848,0.10092981239023967,0.15575835818548706,0.055222011148745545,0.048399933159269555,0.06258127079622483,1.173316913843155,0.9955763855576515,1.3640704184770585,0.021231907213880893,-0.00853372340705019,0.04958509995016591,0.45112781954887216
gemma-2-2b-it,RNE,153,0.1254773618444931,0.09955853240966413,0.15461002937543675,0.05267292749134174,0.04610992850933864,0.05988236883703875,1.1437075530426413,0.9573202139214625,1.3411611125439027,-0.013073202355856744,-0.039318958142664076,0.013342619046010229,0.5317460317460317
gemma-2-2b-it,S1,160,0.10650338518263916,0.07558920060944947,0.14046960240261527,0.06142510995241075,0.0509686497196305,0.07334930804293119,0.9576737821102143,0.789188441336155,1.1325680369138718,0.7063824559665328,-0.4544034695321583,2.012223260426001,0.41353383458646614
gemma-2-2b-it,SE,160,0.13588413929003487,0.10223947871261603,0.17326435071561158,0.06502890822280694,0.055715377629406634,0.07535093280707611,1.0867684006690979,0.9309432184696198,1.2525535221397877,0.24806027116690044,-0.0986948425599202,0.6080453961913036,0.3308270676691729
llama-3.1-8b-instruct,B,160,0.14127486317752852,0.12191923427647147,0.16216656202719254,0.04153785754311634,0.0359351589460316,0.047672725308796016,0.49500333666801455,0.42749557226896284,0.5659848089516163,,,,
llama-3.1-8b-instruct,G1,160,0.14934712455272353,0.11790225230013862,0.18350487720703676,0.07836937687059753,0.0695364678884991,0.08756322971017627,1.3260459065437318,1.108957215845585,1.561284643560648,-0.7284392338681567,-1.5669210884270364,0.08869396704874508,0.546875
llama-3.1-8b-instruct,LC,10,0.0739061784377501,0.03922681346119734,0.10858554341430286,0.04910654961963113,0.031223677007162488,0.06698942223209978,0.5206215858459473,0.1896883010864258,0.8515548706054688,0.09551743666330943,-0.13628853162129767,0.4011502663294473,0.5
llama-3.1-8b-instruct,MC,10,0.044297429335695485,0.02716644945211072,0.06635580584665868,0.056513807951531825,0.02656205123970496,0.09894994283505043,0.4198655128479004,0.27447757720947263,0.5568348884582519,1.569412016868593,0.9834677457809462,2.2531716585159325,0.2
llama-3.1-8b-instruct,NE,155,0.14357872988533266,0.1239955385389856,0.16442719985320486,0.040579854652638594,0.03498020259583626,0.04674134869772598,0.4973763876323459,0.4285149175909501,0.5678573311129703,0.03170599200433941,0.008654101562892884,0.05618001761596354,0.3951612903225806
llama-3.1-8b-instruct,RE,160,0.14081361300278522,0.12168289013311237,0.16121938727389007,0.04158751819365195,0.03597596215079344,0.04768797375788991,0.5170583903789521,0.4536093038320541,0.5844526799023152,0.01733880069807757,-0.0018044892934024031,0.037176354865274645,0.46875
llama-3.1-8b-instruct,RNE,155,0.14543338383967322,0.1264835844925419,0.16557703720564648,0.040312427375585685,0.03475622814617069,0.04641085501260414,0.5174161391922191,0.4471775142452385,0.5905052096028871,0.02223865770056829,0.002262237633953946,0.042665900299568474,0.3629032258064516
llama-3.1-8b-instruct,S1,160,0.08601694459638402,0.06722806995103653,0.10832588769166068,0.05392931054471998,0.04669461567831767,0.06174951860448997,0.453255957365036,0.37294309243559837,0.543275680989027,-0.3272235391266938,-0.8609304400248667,0.20924177344875106,0.5078125
llama-3.1-8b-instruct,SE,160,0.11009980681533202,0.09365539316314624,0.12774852358298996,0.05090718223110775,0.04419086985602056,0.05803219005733163,0.4451458275318146,0.38814229249954224,0.5065449951589107,-0.01290309057449299,-0.20048634479987062,0.1692682676225286,0.4609375
