study,model_name,condition,quantity,estimate,n,n_clusters,lo,hi
A1,llama-3.1-8b-instruct,leace_mw_f3_r1_a1,mean |C_logp|,0.29472955465316775,160.0,160.0,0.24346978217363358,0.35393923163414
A1,llama-3.1-8b-instruct,leace_mw_f3_r1_a1,mean |C_margin|,0.15569078771373893,160.0,160.0,0.12838887785431707,0.18498042712483223
A1,llama-3.1-8b-instruct,leace_sequential_r1_a1,mean |C_raw|,0.14923477172851562,160.0,160.0,0.12294126510620118,0.17964483261108397
A1,llama-3.1-8b-instruct,leace_sequential_r1_a1,mean |C_logp|,0.2903495192527771,160.0,160.0,0.23859101176261902,0.3513768517971039
A1,llama-3.1-8b-instruct,leace_sequential_r1_a1,mean |C_margin|,0.15526364498500583,160.0,160.0,0.127801853399488,0.18529509803916833
A1,llama-3.1-8b-instruct,leace_swap_300_r1_a1,mean |C_raw|,0.15984268188476564,160.0,160.0,0.1303311538696289,0.1927928161621094
A1,llama-3.1-8b-instruct,leace_swap_300_r1_a1,mean |C_logp|,0.30265756845474245,160.0,160.0,0.24624527782201766,0.36766281127929684
A1,llama-3.1-8b-instruct,leace_swap_300_r1_a1,mean |C_margin|,0.16618560160262674,160.0,160.0,0.13741595250896263,0.19583286716590953
A1,llama-3.1-8b-instruct,leace_swap_max_noshrink_r1_a1,mean |C_raw|,0.1522439956665039,160.0,160.0,0.12234001159667969,0.1860153532028198
A1,llama-3.1-8b-instruct,leace_swap_max_noshrink_r1_a1,mean |C_logp|,0.2958593249320984,160.0,160.0,0.24005793660879135,0.35994989335536953
A1,llama-3.1-8b-instruct,leace_swap_max_noshrink_r1_a1,mean |C_margin|,0.1679930173898045,160.0,160.0,0.14004252249304253,0.19727800505447993
A1,llama-3.1-8b-instruct,leace_swap_max_r1_a1,mean |C_raw|,0.1558359146118164,160.0,160.0,0.12830313205718993,0.18651675224304198
A1,llama-3.1-8b-instruct,leace_swap_max_r1_a1,mean |C_logp|,0.29809160232543946,160.0,160.0,0.24520901918411253,0.35833614289760585
A1,llama-3.1-8b-instruct,leace_swap_max_r1_a1,mean |C_margin|,0.17616926190219348,160.0,160.0,0.14607207854337328,0.20732881291003166
A1,llama-3.1-8b-instruct,leace_swap_small_r1_a1,mean |C_raw|,0.1485748291015625,160.0,160.0,0.12430465698242187,0.1756092643737793
A1,llama-3.1-8b-instruct,leace_swap_small_r1_a1,mean |C_logp|,0.2774967312812805,160.0,160.0,0.23022675663232803,0.3322820544242859
A1,llama-3.1-8b-instruct,leace_swap_small_r1_a1,mean |C_margin|,0.16024226931077015,160.0,160.0,0.1328787416596956,0.18975080926961535
A1,llama-3.1-8b-instruct,random_ortho_1_r1_a1,mean |C_raw|,0.15491256713867188,160.0,160.0,0.12469289779663086,0.18908782958984374
A1,llama-3.1-8b-instruct,random_ortho_1_r1_a1,mean |C_logp|,0.29298474788665774,160.0,160.0,0.2376662376523018,0.3561193171143532
A1,llama-3.1-8b-instruct,random_ortho_1_r1_a1,mean |C_margin|,0.17094371213188655,160.0,160.0,0.142139145241508,0.20112024208035648
A1,llama-3.1-8b-instruct,random_ortho_2_r1_a1,mean |C_raw|,0.15034828186035157,160.0,160.0,0.123148832321167,0.18070151329040526
A1,llama-3.1-8b-instruct,random_ortho_2_r1_a1,mean |C_logp|,0.28698418140411375,160.0,160.0,0.2378549048304558,0.34492644816637036
A1,llama-3.1-8b-instruct,random_ortho_2_r1_a1,mean |C_margin|,0.160051379022719,160.0,160.0,0.1334928272645685,0.1879326073806497
A1,llama-3.1-8b-instruct,random_ortho_3_r1_a1,mean |C_raw|,0.15253009796142578,160.0,160.0,0.12253283977508544,0.1868412446975708
