layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,5,0.007928508333861828,0,1,[2604]
1,5,0.031070364639163017,0,1,[1009]
2,5,0.06120896711945534,0,1,[1009]
3,5,0.022225772961974144,0,1,[1009]
4,5,0.03052358515560627,0,1,[1009]
5,5,0.011574176140129566,0,1,[1009]
6,5,0.0696268156170845,1,1,[689]
7,5,0.05842815712094307,1,1,[689]
8,5,0.05518100783228874,0,1,[2570]
9,5,0.04457186535000801,0,1,[32]
10,5,0.04506878927350044,0,1,[32]
11,5,0.044115714728832245,0,1,[32]
12,5,0.0461495965719223,0,1,[32]
13,5,0.06743904948234558,0,1,[32]
14,5,0.062190111726522446,0,1,[32]
15,5,0.06578686088323593,0,1,[32]
16,5,0.06528513878583908,0,1,[32]
17,5,0.06448879092931747,0,1,[32]
18,5,0.08350157737731934,0,1,[32]
19,5,0.07383453100919724,0,1,[32]
20,5,0.05158277228474617,0,1,[2570]
21,5,0.028240470215678215,0,1,[2570]
22,5,0.026760486885905266,0,1,[2570]
23,5,0.024490326642990112,0,1,[2570]
24,5,0.02128450945019722,0,1,[2570]
25,5,0.019135378301143646,0,1,[2570]
26,5,0.25142693519592285,1,1,[2570]
27,5,0.5147416591644287,1,1,[46]
